acronym,value,value_mean,value_ipsi,value_contra,value_left,value_right,is_seed,tract_experiment_id
RPO,0.014569013408699987,0.014569013408699987,0.012946536297025019,0.01619149051176535,0.012946536297025019,0.01619149051176535,False,583747816
RR,0.0017657666491192273,0.0017657666491192273,0.0009785191353070652,0.00255301416088268,0.0009785191353070652,0.00255301416088268,False,583747816
RSP,0.011990284472620029,0.011990284472620029,0.007841127207455154,0.01613920079406873,0.007841127207455154,0.01613920079406873,False,583747816
RSPagl,0.014241649877707206,0.014241649877707206,0.008718346313413654,0.01976441971026981,0.008718346313413654,0.01976441971026981,False,583747816
RSPagl1,0.014472220523625911,0.014472220523625911,0.008133688088818458,0.02081039722267238,0.008133688088818458,0.02081039722267238,False,583747816
RSPagl2/3,0.00958725484219006,0.00958725484219006,0.00629001120283701,0.012884321013027403,0.00629001120283701,0.012884321013027403,False,583747816
RSPagl5,0.012420655958035175,0.012420655958035175,0.007297362912798153,0.017543510407753756,0.007297362912798153,0.017543510407753756,False,583747816
RSPagl6a,0.02365695471849626,0.02365695471849626,0.015098689713749197,0.032215066416403454,0.015098689713749197,0.032215066416403454,False,583747816
RSPagl6b,0.02747289870237558,0.02747289870237558,0.018473207976492854,0.03647253313128667,0.018473207976492854,0.03647253313128667,False,583747816
RSPd,0.0134558319127526,0.0134558319127526,0.008715405590767647,0.018196162192077755,0.008715405590767647,0.018196162192077755,False,583747816
RSPd1,0.016162663570741847,0.016162663570741847,0.010311626592765041,0.022013847204015738,0.010311626592765041,0.022013847204015738,False,583747816
RSPd2/3,0.009602168246681175,0.009602168246681175,0.0064514305525857525,0.012752697461031928,0.0064514305525857525,0.012752697461031928,False,583747816
RSPd5,0.011218438232700374,0.011218438232700374,0.007086330391854116,0.015350373220406523,0.007086330391854116,0.015350373220406523,False,583747816
RSPd6a,0.018550264611671773,0.018550264611671773,0.012113356457030839,0.02498708510713021,0.012113356457030839,0.02498708510713021,False,583747816
RSPd6b,0.024273206513799127,0.024273206513799127,0.017268093169454945,0.03127835067646663,0.017268093169454945,0.03127835067646663,False,583747816
RSPv,0.009488644893172837,0.009488644893172837,0.00660137237189731,0.012375923981869487,0.00660137237189731,0.012375923981869487,False,583747816
RSPv1,0.011763503437943036,0.011763503437943036,0.008465142382231967,0.015061864775297083,0.008465142382231967,0.015061864775297083,False,583747816
RSPv2/3,0.00537548607673405,0.00537548607673405,0.0040583919170569345,0.006692583964417516,0.0040583919170569345,0.006692583964417516,False,583747816
RSPv5,0.008397301368555002,0.008397301368555002,0.005452629556505262,0.01134198470018779,0.005452629556505262,0.01134198470018779,False,583747816
RSPv6a,0.014507247011343342,0.014507247011343342,0.010152464266151153,0.018862069070983475,0.010152464266151153,0.018862069070983475,False,583747816
RSPv6b,0.02051334621992955,0.02051334621992955,0.014800372737801897,0.026226396729693322,0.014800372737801897,0.026226396729693322,False,583747816
RT,0.009188534118374319,0.009188534118374319,0.003561210427449401,0.014815857848430003,0.003561210427449401,0.014815857848430003,False,583747816
SAG,0.002775422796529398,0.002775422796529398,0.0010919656122520412,0.004458879957929097,0.0010919656122520412,0.004458879957929097,False,583747816
SBPV,0.0002444254840913432,0.0002444254840913432,0.0001035893194077316,0.0003852616504520817,0.0001035893194077316,0.0003852616504520817,False,583747816
SCH,3.166693830283857e-05,3.166693830283857e-05,2.6371808023785528e-05,3.696206865384431e-05,2.6371808023785528e-05,3.696206865384431e-05,False,583747816
SCO,0.0005344670946547887,0.0005344670946547887,0.00045687807743241223,0.0006120561090160825,0.00045687807743241223,0.0006120561090160825,False,583747816
SCdg,0.010732768370943337,0.010732768370943337,0.005342786830530606,0.01612274591466547,0.005342786830530606,0.01612274591466547,False,583747816
SCdw,0.01144804215765925,0.01144804215765925,0.006147070642152325,0.01674899075509016,0.006147070642152325,0.01674899075509016,False,583747816
SCig,0.007983622873463265,0.007983622873463265,0.003753394450066076,0.012213858060405468,0.003753394450066076,0.012213858060405468,False,583747816
SCiw,0.010365574145073051,0.010365574145073051,0.00477447203889704,0.015956671513037025,0.00477447203889704,0.015956671513037025,False,583747816
SCm,0.009647834677432474,0.009647834677432474,0.004606746797541533,0.014688922042366962,0.004606746797541533,0.014688922042366962,False,583747816
